Year, Month, Day, Hour, Min, Sec,AcX,AcY,AcZ,GyX,GyY,GyZ
2021, 07, 29, 20, 23, 25.388372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.390370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.392371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.393823,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.395682,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.397455,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.399369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.401399,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.403371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.405378,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.407627,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.409395,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.411368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.413371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.415368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.417372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.419366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.421410,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.423365,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.425367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.427736,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.429564,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.432369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.434594,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.436777,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.438625,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.440369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.442370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.444378,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.446370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.447372,-6744,9240,10388,-2416,-720,160
